Timestamp,Source_IP,Destination_IP,Protocol,Source_Port,Destination_Port,Packet_Size
2026-09-23 22:05:49,20.184.175.0,192.168.0.9,TCP,443,59813,54
2026-09-23 22:05:49,20.184.175.0,192.168.0.9,TCP,443,59813,153
2026-09-23 22:05:49,192.168.0.9,20.184.175.0,TCP,59813,443,54
2026-09-23 22:05:49,192.168.0.101,224.0.0.251,UDP,5353,5353,469
2026-09-23 22:05:50,192.168.0.101,224.0.0.251,UDP,5353,5353,326
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,44362,7151,148
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,54662,7151,131
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,35525,7151,148
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,60201,7151,131
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,51627,7151,148
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,36675,7151,131
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,58310,7151,148
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,33170,7151,131
2026-09-23 22:05:50,192.168.0.1,192.168.0.255,UDP,34939,7151,148
2026-09-23 22:05:51,192.168.0.1,192.168.0.255,UDP,56622,7151,131
2026-09-23 22:05:51,192.168.0.9,20.184.175.0,TCP,59813,443,171
2026-09-23 22:05:51,192.168.0.9,20.184.175.0,TCP,59813,443,3335
2026-09-23 22:05:51,20.184.175.0,192.168.0.9,TCP,443,59813,54
2026-09-23 22:05:51,20.184.175.0,192.168.0.9,TCP,443,59813,153
2026-09-23 22:05:51,192.168.0.9,20.184.175.0,TCP,59813,443,89
2026-09-23 22:05:51,20.184.175.0,192.168.0.9,TCP,443,59813,54
2026-09-23 22:05:51,192.168.0.101,224.0.0.251,UDP,5353,5353,469
2026-09-23 22:05:51,192.168.0.101,224.0.0.251,UDP,5353,5353,469
2026-09-23 22:05:53,192.168.0.9,142.250.82.223,UDP,56535,3478,162
2026-09-23 22:05:53,142.250.82.223,192.168.0.9,UDP,3478,56535,110
2026-09-23 22:05:54,192.168.0.101,224.0.0.251,UDP,5353,5353,723
2026-09-23 22:05:59,192.168.0.9,142.250.82.211,UDP,59935,3478,162
2026-09-23 22:05:59,142.250.82.211,192.168.0.9,UDP,3478,59935,110
2026-09-23 22:06:00,192.168.0.101,224.0.0.251,UDP,5353,5353,469
2026-09-23 22:06:05,192.168.0.100,224.0.0.251,UDP,5353,5353,152
2026-09-23 22:06:19,192.168.0.9,142.250.82.223,UDP,56535,3478,162
2026-09-23 22:06:19,142.250.82.223,192.168.0.9,UDP,3478,56535,110
2026-09-23 22:06:22,192.168.0.1,192.168.0.9,OTHER,,,102
2026-09-23 22:06:22,192.168.0.9,104.16.55.40,TCP,59498,443,55
2026-09-23 22:06:22,104.16.55.40,192.168.0.9,TCP,443,59498,66
2026-09-23 22:06:22,192.168.0.9,104.18.156.37,TCP,61284,443,55
2026-09-23 22:06:22,104.18.156.37,192.168.0.9,TCP,443,61284,66
2026-09-23 22:23:24,192.168.0.9,52.168.117.168,TCP,55302,443,171
2026-09-23 22:23:24,192.168.0.9,52.168.117.168,TCP,55302,443,3335
2026-09-23 22:23:24,52.168.117.168,192.168.0.9,TCP,443,55302,54
2026-09-23 22:23:24,52.168.117.168,192.168.0.9,TCP,443,55302,54
2026-09-23 22:23:24,52.168.117.168,192.168.0.9,TCP,443,55302,153
2026-09-23 22:23:24,192.168.0.9,52.168.117.168,TCP,55302,443,89
2026-09-23 22:23:24,52.168.117.168,192.168.0.9,TCP,443,55302,54
2026-09-23 22:23:25,192.168.0.1,192.168.0.9,OTHER,,,102
2026-09-23 22:23:26,192.168.0.1,192.168.0.9,OTHER,,,102
2026-09-23 22:23:27,192.168.0.9,52.168.117.168,TCP,55302,443,171
2026-09-23 22:23:27,192.168.0.9,52.168.117.168,TCP,55302,443,3879
2026-09-23 22:23:27,52.168.117.168,192.168.0.9,TCP,443,55302,54
2026-09-23 22:23:27,52.168.117.168,192.168.0.9,TCP,443,55302,54
2026-09-23 22:23:27,52.168.117.168,192.168.0.9,TCP,443,55302,153
2026-09-23 22:23:27,192.168.0.9,52.168.117.168,TCP,55302,443,54
2026-09-23 22:23:27,192.168.0.9,40.79.167.9,TCP,62862,443,54
2026-09-23 22:23:28,40.79.167.9,192.168.0.9,TCP,443,62862,54
2026-09-23 22:23:28,192.168.0.9,40.79.167.9,TCP,62862,443,54
2026-09-23 22:23:30,192.168.0.1,192.168.0.255,UDP,50211,7151,144
2026-09-23 22:23:35,192.168.0.9,142.250.82.223,UDP,56535,3478,162
2026-09-23 22:23:35,142.250.82.223,192.168.0.9,UDP,3478,56535,110
2026-09-23 22:23:40,192.168.0.100,224.0.0.251,UDP,5353,5353,152
2026-09-23 22:23:41,192.168.0.9,142.250.82.211,UDP,59935,3478,162
2026-09-23 22:23:41,142.250.82.211,192.168.0.9,UDP,3478,59935,110
2026-09-23 22:23:50,192.168.0.9,35.237.69.59,TCP,50752,443,55
2026-09-23 22:23:50,35.237.69.59,192.168.0.9,TCP,443,50752,70
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,52737,7151,148
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,38020,7151,131
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,49136,7151,148
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,59503,7151,131
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,42962,7151,148
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,48759,7151,131
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,33906,7151,148
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,40758,7151,131
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,47798,7151,148
2026-09-23 22:23:53,192.168.0.1,192.168.0.255,UDP,56444,7151,131
2026-09-23 22:24:00,192.168.0.100,224.0.0.251,UDP,5353,5353,152
2026-09-23 22:24:00,192.168.0.9,142.250.82.223,UDP,56535,3478,162
2026-09-23 22:24:01,142.250.82.223,192.168.0.9,UDP,3478,56535,110
2026-09-23 22:24:02,192.168.0.102,224.0.0.251,UDP,5353,5353,122
2026-09-23 22:24:02,192.168.0.102,224.0.0.251,OTHER,,,46
2026-09-23 22:55:54,192.168.0.9,4.150.223.100,TCP,62216,443,172
2026-09-23 22:55:54,192.168.0.9,4.150.223.100,TCP,62216,443,7130
2026-09-23 22:55:54,4.150.223.100,192.168.0.9,TCP,443,62216,54
2026-09-23 22:55:54,4.150.223.100,192.168.0.9,TCP,443,62216,153
2026-09-23 22:55:54,192.168.0.9,4.150.223.100,TCP,62216,443,89
2026-09-23 22:55:55,4.150.223.100,192.168.0.9,TCP,443,62216,54
